Filename,Depositos,Vendedores,Greedy_cost,Greedy_time,Greedy_free,Binpacking_cost,Binpacking_time,Binpacking_free,Swap(Greedy)_cost,Swap(Greedy)_time,Swap(Greedy)_free,Swap(Bin Packing)_cost,Swap(Bin Packing)_time,Swap(Bin Packing)_free,Relocate(Greedy)_cost,Relocate(Greedy)_time,Relocate(Greedy)_free,Relocate(Bin Packing)_cost,Relocate(Bin Packing)_time,Relocate(Bin Packing)_free,Swap+Relocate(Greedy)_cost,Swap+Relocate(Greedy)_time,Swap+Relocate(Greedy)_free,Swap+Relocate(Bin Packing)_cost,Swap+Relocate(Bin Packing)_time,Swap+Relocate(Bin Packing)_free,Relocate+Swap(Greedy)_cost,Relocate+Swap(Greedy)_time,Relocate+Swap(Greedy)_free,Relocate+Swap(Bin Packing)_cost,Relocate+Swap(Bin Packing)_time,Relocate+Swap(Bin Packing)_free,Tabu_cost,Tabu_time,Tabu_free,RVND_cost,RVND_time,RVND_free
e40400,40,400,739996,0.381459,239,368473,2.32979,0,733089,393.06,239,254557,1512.57,0,739996,0.964709,239,277594,427.872,0,733089,390.381,239,275140,604.665,0,735610,394.307,238,254557,1513.21,0,275140,862,0,273805,890.567,0
e201600,20,1600,3.2619e+06,0.818584,1164,1.35079e+06,4.98637,0,3.25096e+06,16023.7,1164,1.07676e+06,84685.3,0,3.2619e+06,1.99771,1164,1.11539e+06,3299.36,0,3.25096e+06,15884.5,1164,1.09739e+06,31452.2,0,3.26926e+06,16024.8,1164,1.07676e+06,84686.7,0,1.11464e+06,10891,0,1.10077e+06,29769,0
e20400,20,400,746075,0.21475,265,320970,1.20704,0,741821,332.022,265,234469,1269.62,0,746075,0.518334,265,245967,203.248,0,741821,333.629,265,238856,543.485,0,748802,332.321,265,234469,1269.97,0,239785,712,0,256114,625.151,0
e10400,10,400,633169,0.132375,261,272013,0.656792,0,628674,338.898,261,184732,1117.51,0,633169,0.313667,261,204465,97.6437,0,628674,383.313,261,197157,405.771,0,641301,339.071,261,184732,1117.73,0,203881,657,0,204180,488.506,0
e05100,5,100,92769,0.027292,46,53515,0.094875,0,91313,5.14929,46,24232,16.2697,0,92769,0.057084,46,28639,2.83283,0,91313,5.1465,46,26893,5.98613,0,95558,5.17892,46,24232,16.3054,0,26893,14,0,29490,13.2927,0
e10100,10,100,109850,0.040792,42,64422,0.156666,0,109827,2.71146,42,28734,19.4451,0,109850,0.086709,42,38358,6.29883,0,109827,2.75483,42,36675,8.55317,0,114807,2.75825,42,28062,19.5405,0,36675,20,0,39160,18.8279,0
e20100,20,100,87275,0.070292,24,68510,0.299708,0,83793,5.00504,24,34168,20.6805,0,87275,0.156875,24,27010,18.1775,0,83793,5.0735,24,22079,27.1681,0,83331,5.16625,23,18337,24.6772,0,9440,46,0,20148,43.6134,0
e05200,5,200,217701,0.04725,110,103076,0.191208,0,216827,48.1965,110,50560,131.995,0,217701,0.104875,110,56890,11.7964,0,216827,48.1859,110,53747,42.5982,0,222503,48.2492,110,50560,132.071,0,53747,114,0,61448,82.6755,0
e10200,10,200,295716,0.072459,117,144993,0.335208,0,290605,57.5212,117,91947,150.69,0,295716,0.1745,117,104553,27.1236,0,290605,55.9951,117,103483,43.4351,0,305401,57.6093,117,91947,150.802,0,103488,75,0,95870,113.222,0
e20200,20,200,342293,0.124666,115,161638,0.623375,0,340623,72.4853,115,102648,224.513,0,342293,0.294291,115,115721,50.8686,0,340623,30.9875,115,111414,76.6249,0,343203,72.6423,115,102648,224.683,0,88043,118,0,113851,120.909,0
real_instance,310,1100,964.9,9.84775,0,10629,39.621,0,824.2,14150.6,0,1146.8,64725.8,0,792.3,8141.22,0,809.4,36829.6,0,739.4,14855.7,0,725,44884.7,0,747.9,18586.7,0,764.7,74175,0,791.8,55719,0,718.9,126242,0
